70ca23c was Kiyoshi Omaza, 34 minutes ago, message: Corregido el formato
8824930 was Kiyoshi Omaza, 6 weeks ago, message: Merge pull request #2 from 0xkiyo/feature/modes
0ca0717 was Kiyoshi Omaza, 6 weeks ago, message: added Google Analytics script.
de5edd8 was Kiyoshi Omaza, 7 weeks ago, message: Merge branch 'master' of https://github.com/0xkiyo/0xkiyo.github.io
dd22e65 was Kiyoshi Omaza, 7 weeks ago, message: added tiltle
dfc3d1f was Kiyoshi Omaza, 7 weeks ago, message: Merge pull request #1 from 0xkiyo/feature/modes
ddeee23 was Kiyoshi Omaza, 7 weeks ago, message: modes lock
1c23d55 was Kiyoshi Omaza, 10 weeks ago, message: fixed name university
645d2e1 was Kiyoshi Omaza, 10 weeks ago, message: add text presentation
3752a3b was Kiyoshi Omaza, 10 weeks ago, message: new structure
2139a9b was Kiyoshi Omaza, 2 months ago, message: Merge branch 'master' of https://github.com/0xkiyo/0xkiyo.github.io
5988d06 was Kiyoshi Omaza, 2 months ago, message: add text presentation
8369262 was Kiyoshi Omaza, 2 months ago, message: Delete .index.html.swp
79a6a82 was Kiyoshi Omaza, 2 months ago, message: add .nojekyll file
8b45e80 was Kiyoshi Omaza, 2 months ago, message: fixed directions for external pages
7380922 was Kiyoshi Omaza, 2 months ago, message: fixed directions
e3df832 was Kiyoshi Omaza, 2 months ago, message: new colors and style pagination.css
d174e28 was Kiyoshi Omaza, 2 months ago, message: add style index.html
cdf00eb was Kiyoshi Omaza, 2 months ago, message: fixed index
d4c3725 was Kiyoshi Omaza, 2 months ago, message: new design
2fbd664 was Kiyoshi Omaza, 2 months ago, message: fixed
26791a6 was Kiyoshi Omaza, 2 months ago, message: fix language
962df34 was Kiyoshi Omaza, 2 months ago, message: add new modes (normal and develop)
66c7f24 was Kiyoshi Omaza, 3 months ago, message: First version.
afdf2ef was Kiyoshi Omaza, 3 months ago, message: Added CNAME file for custom domain (kiyoshiomaza.me)
199bea7 was Kiyoshi Omaza, 3 months ago, message: Initial commit
